,tag,CustType,CustID_x,CustID_y,TGI
0,一般发展客户,线上成员,0.33935361216730037,0.331799591002045,102.0
1,一般挽留客户,线上成员,0.31918505942275044,0.331799591002045,96.0
2,重要价值客户,线上成员,0.3453488372093023,0.331799591002045,104.0
3,重要保持客户,线上成员,0.3260340632603406,0.331799591002045,98.0
4,一般发展客户,线下成员,0.33935361216730037,0.3356339468302659,101.0
5,一般挽留客户,线下成员,0.32597623089983024,0.3356339468302659,97.0
6,重要价值客户,线下成员,0.3453488372093023,0.3356339468302659,103.0
7,重要保持客户,线下成员,0.33454987834549876,0.3356339468302659,100.0
8,一般发展客户,自助成员,0.32129277566539927,0.33256646216768915,97.0
9,一般挽留客户,自助成员,0.3548387096774194,0.33256646216768915,107.0
10,重要价值客户,自助成员,0.30930232558139537,0.33256646216768915,93.0
11,重要保持客户,自助成员,0.33941605839416056,0.33256646216768915,102.0
